,Latitude,Longitude
1592,40.870436053747305,-73.91659312005679
1652,40.84536978963485,-73.9405189140908
1795,40.8506856739921,-73.9343331551165
4782,40.842477685634194,-73.93689286636257
5244,40.84723039072944,-73.93992086855086
5787,40.84993658419647,-73.93975576805198
6406,40.85118147509611,-73.93261570687187
6440,40.85118147509611,-73.93261570687187
7192,40.85226691618461,-73.93990547515098
9048,40.857024230537526,-73.93139877308022
9049,40.85623719445829,-73.93744735400415
11871,40.83646958810112,-73.93702505013701
14425,40.86439499522772,-73.92050891043958
